indicator_name,indicator_code
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN
Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN
Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF
"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot
Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot
Coverage of unemployment benefits and ALMP (% of population),per_lm_alllm.cov_pop_tot
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),per_lm_alllm.cov_q1_tot
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),per_lm_alllm.cov_q2_tot
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),per_lm_alllm.cov_q4_tot
Coverage of unemployment benefits and ALMP in richest quintile (% of population),per_lm_alllm.cov_q5_tot
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot
Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot
Coverage of social safety net programs in poorest quintile (% of population),per_sa_allsa.cov_q1_tot
Coverage of social safety net programs in 2nd quintile (% of population),per_sa_allsa.cov_q2_tot
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot
Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot
Coverage of social safety net programs in richest quintile (% of population),per_sa_allsa.cov_q5_tot
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot
Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot
Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot
Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot
Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot
Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST
Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC
Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER
Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR
Real effective exchange rate index (2010 = 100),PX.REX.REER
Rule of Law: Estimate,RL.EST
Rule of Law: Number of Sources,RL.NO.SRC
Rule of Law: Percentile Rank,RL.PER.RNK
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER
Rule of Law: Standard Error,RL.STD.ERR
Regulatory Quality: Estimate,RQ.EST
Regulatory Quality: Number of Sources,RQ.NO.SRC
Regulatory Quality: Percentile Rank,RQ.PER.RNK
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER
Regulatory Quality: Standard Error,RQ.STD.ERR
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
"Compulsory education, duration (years)",SE.COM.DURS
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS
"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.FE
Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.FE
Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.MA
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA
Primary school age children out-of-school (%),SE.LPV.PRIM.SD
Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE
Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA
"Preprimary education, duration (years)",SE.PRE.DURS
"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS
"School enrollment, preprimary (% gross)",SE.PRE.ENRR
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA
"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS
"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS
Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS
Primary school starting age (years),SE.PRM.AGES
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS
"Primary education, duration (years)",SE.PRM.DURS
"Primary education, pupils",SE.PRM.ENRL
"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS
"School enrollment, primary (% gross)",SE.PRM.ENRR
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS
"School enrollment, primary (% net)",SE.PRM.NENR
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS
"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS
"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS
"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS
"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS
"Primary education, teachers",SE.PRM.TCHR
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA
"Children out of school, primary",SE.PRM.UNER
"Children out of school, primary, female",SE.PRM.UNER.FE
"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS
"Children out of school, primary, male",SE.PRM.UNER.MA
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS
Children out of school (% of primary school age),SE.PRM.UNER.ZS
Lower secondary school starting age (years),SE.SEC.AGES
"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS
"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS
"Secondary education, duration (years)",SE.SEC.DURS
"Secondary education, pupils",SE.SEC.ENRL
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS
"Secondary education, general pupils",SE.SEC.ENRL.GC
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS
"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS
"Secondary education, vocational pupils",SE.SEC.ENRL.VO
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS
"School enrollment, secondary (% gross)",SE.SEC.ENRR
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA
"School enrollment, secondary (% net)",SE.SEC.NENR
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE
"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA
"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS
Progression to secondary school (%),SE.SEC.PROG.ZS
"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS
"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS
"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS
Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS
"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS
"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS
"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS
Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS
Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS
"Secondary education, teachers",SE.SEC.TCHR
"Secondary education, teachers, female",SE.SEC.TCHR.FE
"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS
"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS
"School enrollment, tertiary (% gross)",SE.TER.ENRR
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA
"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS
"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS
"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS
Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS
Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS
Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS
Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS
Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI
Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS
Number of deaths ages 5-9 years,SH.DTH.0509
Number of deaths ages 10-14 years,SH.DTH.1014
Number of deaths ages 15-19 years,SH.DTH.1519
Number of deaths ages 20-24 years,SH.DTH.2024
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
Number of infant deaths,SH.DTH.IMRT
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS
Number of under-five deaths,SH.DTH.MORT
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS
Number of neonatal deaths,SH.DTH.NMRT
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024
Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS
Children (0-14) living with HIV,SH.HIV.0014
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3
Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3
Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS
Number of maternal deaths,SH.MMR.DTHS
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK
"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE
"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA
Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS
Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",SH.STA.AIRP.P5
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS
"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS
Low-birthweight babies (% of births),SH.STA.BRTW.ZS
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS
Female genital mutilation prevalence (%),SH.STA.FGMS.ZS
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE
"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS
"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS
People practicing open defecation (% of population),SH.STA.ODFC.ZS
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH
"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS
"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS
"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS
"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS
"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS
"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS
Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS
"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD
